casos,obitos
4.3,0
5.3,0
5.3,0
7.6,0
9.9,0
14.1,0
21.1,0
30.7,0
41.7,0
58.1,0.1
83.3,0.3
101,0.4
129.7,0.9
158.7,1.7
193.6,2
247,3.3
273.4,4.6
336.1,5.9
394.1,8.1
464,10
555.7,12.6
623.1,15
621.1,16.7
725.9,18.1
750.9,20.6
784.3,21.3
802.6,24.3
764.9,23.7
759.4,25.1
760.3,24.4
714.1,26.4
698.6,27.6
703.1,28.6
798,27
780.4,29.1
758.1,29.9
743.4,32
715.1,31.7
707.1,31.3
697.9,31.4
507.1,31.7
528.3,31
517.3,30
561.3,28.6
561.6,27.9
555.9,26.6
501.7,27.3
539.3,28.1
512.3,27.6
496.7,27
426.1,27.6
394.6,26.6
334.6,26.9
334.1,24.1
312.9,21.9
274.1,20.4
228.4,20
239.7,19.3
223,18
265.4,16.6
289,16.6
325.9,15.3
316.6,14.7
328.4,13.1
307.9,11.6
315.9,12.7
278.6,12.3
229.1,11.3
187.9,10.9
200.6,11
207.9,11.9
218.6,12.4
217,12
218.3,12.6
227.6,13.3
231,14.1
237.3,14.1
226.7,14
225.6,14.1
225,13.6
233.1,13.3
240.6,13.1
249.4,13.4
247.4,13.4
268.1,13.4
273.1,13.4
269.7,13.4
281.3,13
285.1,12.3
289,11.7
306.9,11.1
313.3,9.9
312.1,8.7
344.4,8
334.1,7.1
331.1,7
315.9,5.7
301.7,5.4
285.3,5.4
307.3,5
290,4.3
296,3.7
311.3,2.9
326.3,3.1
339.7,2.3
349,1.9
336.6,2
343,2.6
347.4,2.9
332.3,3.6
343.1,4
335.4,4.7
359,4.9
360,4.9
347.7,5.1
345.6,5.1
355.1,5.4
355.7,6.1
368.6,6.3
350.1,7.1
345.3,7.4
349.3,7.6
362.3,7.4
368,8.1
360.4,6.9
350.3,7
345,6.6
355.6,6
347.9,5.6
338.1,6.4
326.9,5
314,5.1
309.9,4.3
303.4,4.1
279,4.1
263.9,4.1
246.3,3.7
230.6,3.7
230.7,4.3
223.6,4.6
218.3,4
218.3,4
216,3.6
209,3.3
212.7,3.1
197.1,3.3
193.6,3
185.6,3
181.4,2.7
181.6,2.4
176.4,2.1
170.4,2.3
182.7,1.6
175.3,1.9
172.1,2.6
179.4,3
180.6,3.1
196.4,3.4
212.4,3.9
204.6,3.7
206.3,3.6
204.9,3.1
201.3,2.9
214.7,3.3
211.1,3.1
206.3,2.6
204,2.9
210.1,2.7
213.6,2.6
212.3,3.1
209.1,3
224.7,3
240.1,3
266.1,3.3
285.1,3.4
310.1,3.3
327.4,3
333,2.7
337,2.9
339.7,2.9
340.4,2.6
356.4,2.9
355.7,3
356.4,3
378.9,3.1
415.4,3.1
439.3,3.3
479.4,3.1
481,3.1
532.1,3.9
584.1,4
589.4,4.1
583.6,4.1
610,5.1
623.3,5.6
673.6,5.6
656.3,6.4
657.7,7
663.1,7.1
691.3,7.1
680,6.1
697,6
702,6.4
718.1,5.9
689.9,5.3
722,5.4
725.3,6.1
748.6,6.6
747,6.7
758.3,7.3
792.4,7.4
836.6,8.7
799.3,9.9
816.3,9.9
876.9,10.4
949.1,11.3
1046.7,10.3
1073.3,10.7
1146.9,10.9
1258.4,11.1
1419.6,11
1537.1,11.1
1710.6,12.4
1783,13.6
1892.4,14.4
1992.4,14.9
2087.9,14.7
2154,16
2321,16.7
2362.6,18.1
2579.1,19.3
2682.1,19.3
2753.3,20.7
2956.6,22.6
3160.1,23.7
3296.4,26.1
3547.4,27.4
3595.7,30
3665,32.6
3673.4,35.3
3573,37.7
4078.3,42.7
4104.9,44.6
4232.6,46.3
4608.7,48.7
4997.6,50.3
5224.7,52.7
5399.1,55.1
5033.1,58.4
5237.3,63
5394.9,65.4
5389.4,65.3
5425.3,69.3
6036,73.3
6126.7,76
6263.3,75.6
6428.3,74.3
6404.9,73.1
6386.3,74.1
6208.1,73.7
5590,71.3
5513.9,71.9
5428,70.7
5340.7,72.6
5191.4,73.4
4962.3,77
4863,75.7
4751.3,76.3
4534.4,74.4
4262.1,74
3889.1,73.6
3816.4,75.3
3990.6,73.3
3953.6,76.6
3858.6,76.6
3930.6,77.9
4032.4,78.1
3941.3,79.1
3962,81.4
3722.9,83.6
3752.9,85.1
3695.3,86.9
3657.1,87.3
3746.1,89
3915.6,89.1
3809.3,86.3
3726.7,86
3625.3,82.1
3611.7,77.4
3582.9,74.4
3566,75.4
3574.3,73
3547.1,71.6
3172.7,70.4
2921.7,69.3
2920.9,69.4
3049.4,71
3256.1,69.6
3720.3,70.4
4121,70.6
4410.6,69.9
4668.7,71.3
4993.9,74.1
5225.3,76.4
5793.6,78.1
6122.1,80.9
6582.9,88.3
7473.9,93.7
8062.1,97.9
8238.6,104.1
8567.6,113.4
8643.1,122.7
8753.3,130.3
8822.9,136.1
9032.7,144
9444.6,151.1
9601.4,157.6
10058,166.6
10642.4,175.6
11049,186
11523.9,196.7
12150.4,212.1
12341.3,229.7
12372.9,241.9
12417.1,252.3
12478,262.9
12890.6,274.6
12778.1,280.9
12364.1,283.6
12046.6,287.6
11886.9,290.9
11140.4,286.4
10284.7,278.9
9067.9,267.7
8170.1,264.9
7269.7,253.6
6414,239.4
5942.6,228.1
5520.1,220
4849.3,208.7
4215.9,200.4
3635.6,184.9
3167.6,175.6
2906,166.1
2734.3,151
2579.9,137.9
2285.1,133
2065.7,124.1
1935.1,112.4
1751.4,102
1681.3,91.6
1573.6,87.4
1506.4,80.6
1385.9,69.6
1273.9,61.6
1143.4,60.3
1072.1,54.1
1005.3,50.7
983.1,46.9
934.4,43.3
862.9,42
815.7,39
804.6,34.7
795.4,33.7
790.3,31.9
786.1,30.6
808.4,29.4
760.3,26.7
731.3,25.3
678.1,23.4
614.9,22.4
594.7,20.6
579.1,18.4
513,16
517.4,15
497.1,15.4
495.9,14.9
480.6,13.3
467.6,12
466.4,12.9
473.6,12.4
459.6,11.9
450.7,10.1
439.3,9.3
423.1,9.3
411,9.9
419.7,8.4
413.1,7.3
419.3,6.1
443.4,6.4
452,7
442.9,6.9
418.3,6
396.9,6
466.3,6
472.7,6
474.1,5.7
495,5.1
540.9,5
594.1,5.3
610.1,4.7
543.6,5.1
546.6,5.9
532.1,4.9
512,4.7
518.9,4.6
501,4.1
493.7,4
496,4
485.4,3
504.7,3.3
498,2.9
486.3,2.4
491.6,2.9
488.1,2.7
478,2.7
472.6,3
448.9,2.6
442.3,2.4
426.1,2.4
405,1.7
402.7,1.7
389.1,1.6
362.7,1.4
348.9,2
337,2.1
330.1,2.1
329.3,2.1
326.1,2.3
327.6,1.9
341.6,2.1
350.6,1.6
361,1.4
370,2.1
371.4,2.1
377.3,2.3
394.1,2.4
397.9,2.1
400,2.1
415.6,2.6
423.3,1.6
434.6,1.4
440.6,1.3
439,1.4
450.9,1.3
468.1,1.1
473.7,0.9
486,0.9
490.6,0.9
518.3,1
528.3,0.6
546.9,0.6
575,1
551,0.9
